what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874421547
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874423387
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874428560
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874429754
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874430777
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874432173
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874436400
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874440243
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874442198
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874450612
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874455500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874456468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874458113
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874458624
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874470652
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1505874472232
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874476874
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1505874496550
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874498071
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874498100
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874499024
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1505874499363
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1505874499557
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874499579
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874502243
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874506990
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874590288
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1505874597623
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874597902
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874598031
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1505874598101
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874600080
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874600159
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1505874600202
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874607352
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1505874607405
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874609741
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874609826
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1505874609863
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874610896
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505874612297
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874613688
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505874615137
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1505874616218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874619487
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874620664
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1505874628227
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1505874632088
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874635006
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1505874636856
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505874639315
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874640209
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1505874645950
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505874646791
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874647973
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505874648677
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1505874661339
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874662386
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874663650
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874672771
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874674605
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874675129
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874676067
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1505874679212
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874680168
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.openEditorDropDown",1505874682179
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874682193
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874685388
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874685448
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505874688466
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874689969
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505874691164
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874692606
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874694312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874695243
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874697344
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874698893
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874706153
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505874707940
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874717557
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874718740
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505874721270
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874725084
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1505874736577
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874736820
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874736901
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1505874736947
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874739499
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1505874739555
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874741115
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874742529
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874748850
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874750260
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874751779
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874752142
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874752257
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874752920
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505874754066
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874755981
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874756485
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505874757321
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874757774
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874758952
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874762586
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874763864
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874766902
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874767521
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874771064
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874771706
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874772543
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874774210
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1505874778943
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1505874778960
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1505874779094
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1505874779097
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1505874779355
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1505874784235
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1505874793387
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1505874797834
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874804032
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874804797
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874806724
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874807205
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874824691
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874825462
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874830810
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874831637
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1505874835121
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874838107
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874838865
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874841332
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874846517
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874853404
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505874854612
