what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505962500750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505962503918
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505962509170
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505962513068
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505962513761
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505962517224
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1505962518994
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1505962523883
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505962536323
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505962537237
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505962538460
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1505962540595
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1505962545316
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505962555290
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505962556192
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505962557215
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505962557893
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505962558243
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505962558576
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505962559943
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505963275625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505963276749
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505963277767
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505963282561
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505963295011
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505963321904
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505963427874
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505963437237
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505963466237
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505963472053
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505963493896
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505963495415
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505970123021
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505970124465
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505970128189
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1505970128907
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1505970128922
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1505970128927
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1505970128944
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1505970128944
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1505970128974
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1506049265272
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1506049265273
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1506049265273
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1506049265274
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1506049265277
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1506049265278
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1506049265299
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1506049265300
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1506049265300
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1506049265305
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1506049265306
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1506049265308
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1506049265355
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1506049265355
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1506049265356
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1506049265357
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1506049265358
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1506049265375
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1506049265385
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1506049265386
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1506049265387
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1506049265387
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1506049265388
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1506049265388
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1506049265390
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1506049265391
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1506049265391
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1506049265392
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1506049265393
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1506049265393
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1506049265393
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1506049265394
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1506049265394
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1506049265394
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1506049265394
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1506049265395
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1506049265395
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1506049265395
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1506049265396
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1506049265455
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1506049265527
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1506049265527
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1506049265528
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1506049265540
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1506049265540
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1506049265541
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1506049265541
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1506049265541
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1506049265542
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1506049265542
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1506049265542
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1506049265563
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1506049265564
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1506049265565
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1506049265565
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1506049265565
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1506049265566
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1506049265566
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1506049265567
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1506049265568
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1506049265568
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1506049265574
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1506049265607
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1506049265619
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1506049265645
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1506049265647
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1506049265648
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1506049265650
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1506049265652
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1506049265658
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1506049265658
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1506049265701
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1506049265717
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1506049265741
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1506049265742
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1506049265742
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1506049265753
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1506049265753
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1506049265800
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1506049265801
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1506049265801
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1506049265802
started,bundle,org.eclipse.emf.common,2.10.1.v20150123-0348,"org.eclipse.emf.common",1506049265802
started,bundle,org.eclipse.emf.ecore,2.10.2.v20150123-0348,"org.eclipse.emf.ecore",1506049265813
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030423,"org.eclipse.wst.common.project.facet.core",1506049265813
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1506049265815
os,sysinfo,,,"linux",1506049265821
arch,sysinfo,,,"x86_64",1506049265821
ws,sysinfo,,,"gtk",1506049265821
locale,sysinfo,,,"en_IN",1506049265821
processors,sysinfo,,,"4",1506049265821
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1506049265821
java.runtime.version,sysinfo,,,"1.8.0_131-8u131-b11-2ubuntu1.16.04.3-b11",1506049265821
java.specification.name,sysinfo,,,"Java Platform API Specification",1506049265821
java.specification.vendor,sysinfo,,,"Oracle Corporation",1506049265821
java.specification.version,sysinfo,,,"1.8",1506049265821
java.vendor,sysinfo,,,"Oracle Corporation",1506049265821
java.version,sysinfo,,,"1.8.0_131",1506049265821
java.vm.info,sysinfo,,,"mixed mode",1506049265821
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1506049265821
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1506049265821
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1506049265821
java.vm.specification.version,sysinfo,,,"1.8",1506049265821
java.vm.vendor,sysinfo,,,"Oracle Corporation",1506049265821
java.vm.version,sysinfo,,,"25.131-b11",1506049265821
started,bundle,org.eclipse.emf.ecore.xmi,2.10.2.v20150123-0348,"org.eclipse.emf.ecore.xmi",1506049266020
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.200.v201008201800,"org.eclipse.jst.ws.jaxrs.core",1506049266300
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.400.v201403261418,"org.eclipse.jst.common.project.facet.core",1506049266313
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506049283755
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506049284662
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506049285446
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1506049290995
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506049309715
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1506049314000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506049314139
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506049314177
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506049316230
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1506049322540
